IdSupplier	OriginalSupplierName	SupplierName
44431	OBERIX GROUP PTY LTD	OBERIX GROUP
44432	J9 RECRUITMENT PTY LTD	J9 RECRUITMENT
44433	BROADSPECTRUM (AUSTRALIA) PTY LTD	BROADSPECTRUM (AUSTRALIA)
44434	THE TRUSTEE FOR FANAYAN FAMILY TRUST	THE TRUSTEE FOR FANAYAN FAMILY TRUST
44435	CONCEPT 2 COMPLETION GROUP PTY LTD	CONCEPT 2 COMPLETION GROUP
44436	DEPARTMENT OF PRIMARY INDUSTRIES PARKS WATER AND ENVIRONMENT	DEPARTMENT OF PRIMARY INDUSTRIES PARKS WATER AND ENVIRONMENT
44437	E ITX	E ITX
44438	EPI-USE LABS PTY LIMITED	EPI-USE
44439	HI-TECH METROLOGY PTY LTD	HI-TECH METROLOGY
44440	IMPLEMENTA GMBH	IMPLEMENTA
44441	INCTIVE GLOBAL SERVICES PTY LTD	INCTIVE GLOBAL SERVICES
44442	INTEGRAL TECHNOLOGY SOLUTIONS PTY LTD	INTEGRAL TECHNOLOGY SOLUTIONS
44443	ISO TECHNOLOGY PTY LTD	ISO TECHNOLOGY
44444	LUXCOM TECHNOLOGIES IN	LUXCOM TECHNOLOGIES
44445	OBJECTIVE EYE TRACKING PTE LTD	OBJECTIVE EYE TRACKING
44446	PORTABLE AUSTRALIA PTY LTD	PORTABLE AUSTRALIA
44447	RADIO TACTICS LIMITED	RADIO TACTICS
44448	SATCOM DIRECT - AUSTRALIA PTY LTD	SATCOM DIRECT - AUSTRALIA
44449	THE TRUSTEE FOR GOLUB FAMILY TRUST	THE TRUSTEE FOR GOLUB FAMILY TRUST
44450	W R & E L JONES ELECTRICAL CONTRACTORS PTY LTD	W R & E L JONES ELECTRICAL CONTRACTORS
44451	YURAS BUSINESS GATEWAY PTY LTD	YURAS BUSINESS GATEWAY
44452	MMC ELECTRICAL ENGINEERING PTY LTD	MMC ELECTRICAL ENGINEERING
44453	THE TRUSTEE FOR SONIC TECHNOLOGY UNIT TRUST	THE TRUSTEE FOR SONIC TECHNOLOGY UNIT TRUST
44454	UNITY COMPUTING SERVICES PTY LTD	UNITY COMPUTING SERVICES
44455	COMMONWEALTH OF AUSTRALIA AS REPRESENTED BY THE ATTORNEY GENERAL'S DEPARTMENT	COMMONWEALTH OF AUSTRALIA AS REPRESENTED BY THE ATTORNEY GENERAL'S DEPARTMENT
44456	JUNIPERS PTY LTD	JUNIPERS
44457	"CORNISH, LISA MICHELLE"	"CORNISH, LISA MICHELLE"
44458	OSKY INTERACTIVE PTY LTD	OSKY INTERACTIVE
44459	PINPOINT TALENT PTY LTD	PINPOINT TALENT
44460	POCKETS OF BRILLIANCE PTY LTD	POCKETS OF BRILLIANCE
44461	UNIVERSITY OF WESTERN SYDNEY	UNIVERSITY OF WESTERN SYDNEY
44462	COM PTY LTD	COM
44463	ICSA BOARDROOM APPS LIMITED	ICSA BOARDROOM APPS
44464	BRUKER PTY LTD	BRUKER
44465	GRAPHICAL NETWORKS LLC	GRAPHICAL NETWORKS
44466	SQUARED UP LTD	SQUARED UP
44467	AUSTAL SHIPS PTY LTD	AUSTAL SHIPS
44468	EVERETT SMITH & CO. PTY. LTD.	EVERETT SMITH & CO
44469	THE TRUSTEE FOR THE HOSIE FAMILY TRUST	THE TRUSTEE FOR THE HOSIE FAMILY TRUST
44470	LONG RANGE SYSTEMS AUSTRALIA PTY LIMITED	LONG RANGE SYSTEMS
44471	ASSOCIATION AND COMMUNICATIONS EVENTS PTY LTD	ASSOCIATION & COMMUNICATION EVENTS
44472	AXICOR PTY LTD	AXICOR
44473	CEIC DATA COMPANY LTD	CEIC DATA
44474	CUMMINS SOUTH PACIFIC PTY LTD	CUMMINS SOUTH PACIFIC
44475	ECA INTERNATIONAL	ECA INTERNATIONAL
44476	IMAGINE DIGITAL PTY LTD	IMAGINE DIGITAL
44477	INTELLIGENCE MANAGEMENT SERVICES PTY LIMITED	INTELLIGENCE MANAGEMENT SERVICES
44478	ISEC7 ASIA PACIFIC PTY LTD	ISEC7 ASIA PACIFIC
44479	IT LEARNING SOLUTION PTY LTD	IT LEARNING SOLUTION
44480	KARLKA RECRUITING GROUP PTY LTD	KARLKA RECRUITING GROUP
44481	LITHIUM TECHNOLOGIES INC.	LITHIUM TECHNOLOGIES
44482	LIVERMORE SOFTWARE TECH	LIVERMORE SOFTWARE TECHNOLOGY
44483	MENTOR TECHNOLOGY SERVICES PTY LTD	MENTOR TECHNOLOGY SERVICES
44484	MIYAN PTY LTD	MIYAN
44485	NATIONWIDE NEWS PTY. LIMITED	NATIONWIDE NEWS
44486	SLATTERY IT CONSULTING PTY LTD	SLATTERY IT CONSULTING
44487	SONRU AUSTRALIA PTY LTD	SONRU
44488	STATIONERY OFFICE BOOK	STATIONERY OFFICE BOOK
44489	STRATEGIC CYBER LLC	STRATEGIC CYBER
44490	TERAXION INC	TERAXION
44491	THE AUSTRALIAN INDUSTRY GROUP	THE AUSTRALIAN INDUSTRY GROUP
44492	THE OTHER DIMENSION PTY LIMITED	THE OTHER DIMENSION
44493	THE TRUSTEE FOR B & K VICTORY FAMILY TRUST	THE TRUSTEE FOR B & K VICTORY FAMILY TRUST
44494	THE UNIVERSITY OF NEWCASTLE	THE UNIVERSITY OF NEWCASTLE
44495	UMT 360 LLC	UMT 360
44496	UX EVENTS PTY LTD	UX EVENTS
44497	WEBSUTRA TECHNOLOGY PTY LTD	WEBSUTRA TECHNOLOGY
44498	A.C.N. 085 756 583 PTY LIMITED	A.C.N. 085 756 583
44499	A.D.M. SYSTEMS PTY. LTD.	A.D.M. SYSTEMS
44500	ACCESSCOMM PTY LTD	ACCESSCOMM
44501	AGENCE COMPTABLE DES SERVICES INDUS	AGENCE COMPTABLE DES SERVICES
44502	AGILECRAFT LLC	AGILECRAFT
44503	AGRICULTURAL IMPACT INTERNATIONAL PTY LTD	AGRICULTURAL IMPACT INTERNATIONAL
44504	AREA ECONOMICA DE LA DIRECCION GENE	AREA ECONOMICA DE LA DIRECCION GENE
44505	ATHAR E COMMERCE	ATHAR E COMMERCE
44506	AVANGATE*ZEMAX.COM	ZEMAX
44507	AXIELL PTY LTD	AXIELL
44508	BAE SYSTEMS IESI	BAE SYSTEMS
44509	"BELL, DEAN LESLEY"	"BELL, DEAN LESLEY"
44510	BLACK HAT USA	BLACK HAT USA
44511	BLANCCO AUSTRALASIA PTY LTD	BLANCCO AUSTRALASIA
44512	BOSCH AUTOMOTIVE SERVICE SOLUTIONS PTY. LTD.	BOSCH AUTOMOTIVE SERVICE SOLUTIONS
44513	BOX	BOX
44514	BRIGHT COMPUTING	BRIGHT COMPUTING
44515	CEB INC	CEB
44516	CHINA UNICOM	CHINA UNICOM
44517	CHRISTMAS ISLAND ENGINEERING & MAINTENANCE PTY LTD	CHRISTMAS ISLAND ENGINEERING & MAINTENANCE
44518	CHRISTMAS ISLAND INTERNET ADMINISTRATION LTD	CHRISTMAS ISLAND INTERNET ADMINISTRATION
44519	CLARK MASTS ASIA PACIFIC PTY LTD	CLARK MASTS ASIA PACIFIC
44520	CLEAR CORPORATE TECHNOLOGY PTY LTD	CLEAR CORPORATE TECHNOLOGY
44521	CLICKSUPER PTY LTD	CLICKSUPER
44522	COGILITY PTY LTD	COGILITY
44523	COMMERCE DECISIONS PTY LTD	COMMERCE DECISIONS
44524	COMMONWEALTH SUPERANNUATION CORPORATION	COMMONWEALTH SUPERANNUATION CORPORATION
44525	CONVERGE INTERNATIONAL INCORPORATING RESOLUTIONSRTK PTY LTD	CONVERGE INTERNATIONAL INCORPORATING RESOLUTIONSRTK
44526	CONVERGING DATA PTY LTD	CONVERGING DATA
44527	COOPERATIVE RESEARCH CENTRE FOR ANTARCTIC CLIMATE AND ECOSYSTEMS	COOPERATIVE RESEARCH CENTRE FOR ANTARCTIC CLIMATE AND ECOSYSTEMS
44528	CRYPTZONE UK LTD	CRYPTZONE UK
44529	CUTE MONSTERS PTY LTD	CUTE MONSTERS
44530	DAVIDSON WORKPLACE SOLUTIONS PTY LIMITED	DAVIDSON WORKPLACE SOLUTIONS
44531	DCX-CHOL ENTERPRISES INC DBA DCX DI	DCX-CHOL
44532	DECODED AUSTRALIA PTY LTD	DECODED AUSTRALIA
44533	DMEFORENSIC	DMEFORENSIC
44534	"DOMAINTOOLS, LLC"	DOMAINTOOLS
44535	DOYLES HOLDINGS (QLD) PTY LTD	DOYLES HOLDINGS (QLD)
44536	DREAMTIME SUPPLY COMPANY PTY LTD	DREAMTIME SUPPLY COMPANY
44537	DRI ENTERPRISE ARCHITECT	DRI ENTERPRISE ARCHITECT
44538	DTI CORPORATION AUSTRALIA PTY LTD	DTI CORPORATION
44539	DYCOM TECHNOLOGY PTY LTD	DYCOM GROUP
44540	ELBIT SYSTEMS - USD	ELBIT SYSTEMS
44541	ESRD	ESRD
44542	EXCEL CONSULTING SOLUTIONS PTY LTD	EXCEL CONSULTING SOLUTIONS
44543	FAIRFAX MEDIA LIMITED	FAIRFAX MEDIA
44544	FLANAGAN BROWN-GREAVES PTY LTD	FLANAGAN BROWN-GREAVES
44545	FLASHPOINT GLOBAL PARTNE	FLASHPOINT GLOBAL PARTNE
44546	FORCEPOINT FEDERAL LLC	FORCEPOINT FEDERAL
44547	FORRESTER SWITZERLAND GMBH	FORRESTER SWITZERLAND
44548	GARMIN SWITZERLAND GMBH	GARMIN SWITZERLAND
44549	GLOBALPOS PTY LIMITED	GLOBALPOS
44550	HEALTH SYSTEM SUPPORT GROUP	HEALTH SYSTEM SUPPORT GROUP
44551	IDEAGEN GAEL LTD	IDEAGEN GAEL
44552	IHS ENERGY GROUP (OVERSEAS - SG)	IHS
44553	INDIAN OCEAN TERRITORIES TELECOM PTY LTD	INDIAN OCEAN TERRITORIES TELECOM
44554	INFO ACCESS GROUP PTY LTD	INFO ACCESS GROUP
44555	INFORMED SOURCES (AUSTRALIA) PTY. LTD.	INFORMED SOURCES
44556	INTELLIGENT AUTOMATION I	INTELLIGENCEBANK
44557	IPFX PTY LIMITED	IPFX
44558	IRON MOUNTAIN AUSTRALIA GROUP PTY LTD	IRON MOUNTAIN
44559	"JAYNE, KAREN LEANNE"	"JAYNE, KAREN LEANNE"
44560	KARLTEK PTY LTD	KARLTEK
44561	KLEPPER PTY. LTD.	KLEPPER
44562	KLINGE CORPORATION DBA REEFER PARTS	KLINGE CORPORATION DBA REEFER PARTS
44563	LAND AIR SEA SPACE PTY. LTD.	LAND AIR SEA SPACE
44564	LIBERO DIGITAL PTY. LTD.	LIBERO DIGITAL
44565	LIMEBRIDGE AUSTRALIA PTY LTD	LIMEBRIDGE
44566	LINDY AUSTRALIA PTY LTD	LINDY AUSTRALIA
44567	LINKEDIN	LINKEDIN
44568	LODESTAR ADVISORY SERVICES TRUST	LODESTAR ADVISORY SERVICES TRUST
44569	LYNDA.COM AUS PTY LTD	LYNDA.COM
44570	MARKFORGED.COM	MARKFORGED.COM
44571	MARKLOGIC CORPORATION	MARKLOGIC CORPORATION
44572	MEDICAL SOFTARE INDUSTRY ASSOCIATION INC	MEDICAL SOFTARE INDUSTRY ASSOCIATION
44573	MEDICOM	MEDICOM
44574	METQUIP SYSTEMS PTY. LIMITED	METQUIP SYSTEMS
44575	NIOA NOMINEES PTY LTD T/F BILL NIOA FAMILY TRUST	NIOA NOMINEES
44576	NOVUS RES PTY LTD	NOVUS RES
44577	NUCTECH SYDNEY PTY LTD	NUCTECH SYDNEY
44578	ORBITAL SYSTEMS LTD	ORBITAL SYSTEMS
44579	PARTICULAR SOFTWARE	PARTICULAR SOFTWARE
44580	PATRIA PTY LTD	PATRIA
44581	PPLCONNECT INC	PPLCONNECT
44582	PRAGMATEAM PTY LIMITED	PRAGMATEAM
44583	PROCUREMENT PROFESSIONALS PTY LTD	PROCUREMENT PROFESSIONALS
44584	PROJECTIVE PTY LTD	PROJECTIVE
44585	QAL TECHNOLOGIES PTY LTD	QAL TECHNOLOGIES
44586	"QUALTRICS, LLC PAYMENT INFORMATION"	QUALTRICS
44587	REPLICON AUSTRALIA PTY LTD	REPLICON
44588	"ROBERTS, NATALIE"	"ROBERTS, NATALIE"
44589	RPSPM PTY LTD	RPSPM
44590	SANDIA CORPORATION	SANDIA NATIONAL LABORATORIES
44591	SEAVUS PRODUCTS LTD	SEAVUS PRODUCTS
44592	SEEAGILITY PTY LTD	SEEAGILITY
44593	SEMANTIC WEB COMPANY GMBH	SEMANTIC WEB COMPANY
44594	SHERRELL OCEAN SERVICES	SHERRELL OCEAN SERVICES
44595	SHREYAS CONSULTING PTY LTD	SHREYAS CONSULTING
44596	SLACK TECNOLOGIES INC	SLACK TECHNOLOGIES
44597	SMART ANALYTICS PTY LTD	SMART ANALYTICS
44598	SMART SOFTWARE SOLUTIONS UNIT TRUST	SMARTSOFTWARE
44599	SMARTTRACK RFID PTY LTD	SMARTTRACK RFID
44600	SOUTH AUSTRALIAN HEALTH AND MEDICAL RESEARCH INSTITUTE LIMITED	SOUTH AUSTRALIAN HEALTH AND MEDICAL RESEARCH INSTITUTE
44601	SQ *HYREL LLC	SQ *HYREL
44602	STRATEGIC TECHNICAL SERVICES LLC	STRATEGIC TECHNICAL SERVICES
44603	SULTAN BIN ABDULAZIZ MEDICAL & EDUCATION TELECOMMUNICATIONS PROGRAM	SULTAN BIN ABDULAZIZ MED & EDU TELE PROGRAM
44604	TALL COMPONENTS BV	TALL COMPONENTS
44605	TASMANIAN NETWORKS PTY LTD	TASMANIAN NETWORKS
44606	TECH INFOSYS PTY LTD	TECH INFOSYS
44607	THE ROYAL AUSTRALIAN AND NEW ZEALAND COLLEGE OF OBSTETRICIANS AND GYNAECOLOGISTS	THE ROYAL AUSTRALIAN AND NEW ZEALAND COLLEGE OF OBSTETRICIANS AND GYNAECOLOGISTS
44608	THE TRUSTEE FOR ANACONDA UNIT TRUST	THE TRUSTEE FOR ANACONDA UNIT TRUST
44609	THE TRUSTEE FOR DELOITTE CONSULTING TRUST	THE TRUSTEE FOR DELOITTE CONSULTING TRUST
44610	THE TRUSTEE FOR JEROD DISCRETIONARY TRUST	THE TRUSTEE FOR JEROD DISCRETIONARY TRUST
44611	THE TRUSTEE FOR SECUREWARE UNIT TRUST	THE TRUSTEE FOR SECUREWARE UNIT TRUST
44612	THE TRUSTEE FOR THE INTEGRALIS HOLDINGS UNIT TRUST	THE TRUSTEE FOR THE INTEGRALIS HOLDINGS UNIT TRUST
44613	THE TRUSTEE FOR TTP TRUST	THE TRUSTEE FOR TTP TRUST
44614	THERMOVOLTAIC TECHNOLOGIES PTY LTD	THERMOVOLTAIC TECHNOLOGIES
44615	TOTAL CABLING SERVICES PTY LTD	TOTAL CABLING SERVICES
44616	TRELLO	TRELLO
44617	"TRELLO, INC"	TRELLO
44618	ULTRALIFT AUSTRALIA PTY. LTD.	ULTRALIFT AUSTRALIA
44619	UNICOM PTY. LIMITED	UNICOM
44620	UPTODATE	UPTODATE
44621	VIRTRA SYSTEMS INC	VIRTRA SYSTEMS
44622	WORKFRONT INC	WORKFRONT
44623	A.K LINACRE & S.J LINACRE	A.K LINACRE & S.J LINACRE
44624	ABLEBRIDGE	ABLEBRIDGE
44625	AUSTRALIAN ANIMAL HEALTH COUNCIL LIMITED	AUSTRALIAN ANIMAL HEALTH COUNCIL
44626	BERLA	BERLA
44627	BREAKING NEW GROUND PTY. LIMITED	BREAKING NEW GROUND
44628	"BRODERIX, KAI"	"BRODERIX, KAI"
44629	CAVOTEC AUSTRALIA PTY LIMITED	CAVOTEC AUSTRALIA
44630	CEB ( CORPORATE EXECUTIVE BOARD)	CEB
44631	CENTRE FOR INFORMATION SYSTEMS RESEARCH MIT SLOAN SCHOOL OF MANAGEMENT	CENTRE FOR INFORMATION SYSTEMS RESEARCH MIT SLOAN SCHOOL OF MANAGEMENT
44632	COMPUWARE SOFTWARE GROUP PTY LTD	COMPUWARE SOFTWARE GROUP
44633	CYNOSURE DYNAMICS PTY LTD	CYNOSURE DYNAMICS
44634	DEKEMO PTY LTD	DEKEMO
44635	DEPT OF JUSTICE & ATTORNEY GENERAL	DEPT OF JUSTICE & ATTORNEY GENERAL
44636	"DOMAIN TOOLS, LLC"	DOMAIN TOOLS
44637	FINANCIAL TIMES LTD	FINANCIAL TIMES
44638	"HALAS, VIKTORIA"	"HALAS, VIKTORIA"
44639	ICS INDUSTRIES PTY LTD	ICS INDUSTRIES
44640	"METROPOLE PRODUCTS, INC."	METROPOLE PRODUCTS
44641	MINTEL GROUP LTD	MINTEL GROUP
44642	NAVIGATE CAPITAL GROUP PTY LTD	NAVIGATE CAPITAL GROUP
44643	ONPOINT 365 PTY LTD	ONPOINT 365
44644	RAPIER ELECTRONICS PTY. LTD.	RAPIER ELECTRONICS
44645	RIVIUM PTY LTD	RIVIUM
44646	RP DATA PTY LTD	RP DATA
44647	SENTE SOFTWARE LTD (SISTER COMPANY	SENTE SOFTWARE
44648	SPECIALTY PACKAGING GROUP PTY LTD	SPECIALTY PACKAGING GROUP
44649	STAR BUSINESS SOLUTIONS (AUST) PTY LTD	STAR BUSINESS SOLUTIONS
44650	STRATEGIC INTELLIGENCE GROUP PTY LTD	STRATEGIC INTELLIGENCE GROUP
44651	TRIDENT SYSTEMS INCORPORATED	TRIDENT SYSTEMS
44652	USTWO STUDIO PTY LTD	USTWO STUDIO
44653	WILEY SUBSCRIPTION SERVICES INC.	WILEY SUBSCRIPTION SERVICES
44654	ACE DATA RECOVERY ENGINEERING INC.	ACE DATA RECOVERY ENGINEERING
44655	AGA ASSISTANCE AUSTRALIA PTY LTD	AGA ASSISTANCE
44656	AGILIENT PTY LIMITED	AGILIENT
44657	AGORA CONSULTING PTY LTD	AGORA CONSULTING
44658	ALLTYPE INVESTMENTS PTY LTD	ALLTYPE INVESTMENTS
44659	ARA SECURITY SERVICES PTY LIMITED	ARA SECURITY SERVICES
44660	ARCTAN SERVICES PTY LTD	ARCTAN SERVICES
44661	ASCENDER LEARN PTY LTD	ASCENDER LEARN
44662	ATF MINING ELECTRICS PTY LIMITED	ATF MINING ELECTRICS
44663	AUSTRALIAN MARITIME SYSTEMS GROUP LIMITED	AUSTRALIAN MARITIME SYSTEMS
44664	BLACKCOMPASS SOFTWARE PTY LTD	BLACKCOMPASS SOFTWARE
44665	BSM IMPACT PTY LTD	BSM IMPACT
44666	CUSTOMER DRIVEN SOLUTIONS PTY LTD	CUSTOMER DRIVEN SOLUTIONS
44667	DEPARTMENT OF THE SENATE	DEPARTMENT OF THE SENATE
44668	DYNAMSOFT CORPORATION	DYNAMSOFT
44669	E.E COSTER & R.M COSTER	E.E COSTER & R.M COSTER
44670	FRANCOIS LE GEOFF	FRANCOIS LE GEOFF
44671	GET CONSOLE SHOP	GET CONSOLE SHOP
44672	"GOULD, TOBY STEPHEN"	"GOULD, TOBY STEPHEN"
44673	HASTINGS DEERING (AUSTRALIA) LIMITED	HASTINGS DEERING
44674	HAVER ANALYTICS	HAVER ANALYTICS
44675	KENT JOHNSON CONSULTING PTY LIMITED	KENT JOHNSON CONSULTING
44676	LEXER PTY LTD	LEXER
44677	LHASA LIMITED	LHASA
44678	MARIOS KERKEMEZOS	MARIOS KERKEMEZOS
44679	NATIONAL MUSEUM OF AUSTRALIA	NATIONAL MUSEUM OF AUSTRALIA
44680	PEARSON AUSTRALIA GROUP PTY LTD	PEARSON AUSTRALIA
44681	POWERMAPPER SOFTWARE LTD	POWERMAPPER SOFTWARE
44682	"RYAN, CHRISTINE ANN"	"RYAN, CHRISTINE ANN"
44683	SAWTOOTH SOFTWARE	SAWTOOTH SOFTWARE
44684	SHORETEL AUSTRALIA PTY LTD	SHORETEL
44685	SMSGLOBAL PTY LTD	SMSGLOBAL
44686	STEALTH SURVEILLANCE SYSTEMS (AUST) PTY LTD	STEALTH SURVEILLANCE SYSTEMS
44687	"TACTICAL NETWORK SOLUTIONS, LLC"	TACTICAL NETWORK SOLUTIONS
44688	THE ESCAL INSTITUTE OF ADVANCED TECHNOLOGY INC T/A SANS INSTITUTE	SANS INSTITUTE
44689	THE PRINTING FACTORY GROUP PTY LIMITED	THE PRINTING FACTORY GROUP
44690	THE RISK REPORT	THE RISK REPORT
44691	THE TRUSTEE FOR PRESTON FAMILY TRUST	THE TRUSTEE FOR PRESTON FAMILY TRUST
44692	THE TRUSTEE FOR WIRRUNA TRUST	THE TRUSTEE FOR WIRRUNA TRUST
44693	TRAIN VISUAL LTD	TRAIN VISUAL
44694	VERITAS STORAGE (SINGAPORE) PTE. LTD	VERITAS STORAGE
44695	VIRTUAL INFORMATION TECHNOLOGY PTY LTD	VIRTUAL INFORMATION TECHNOLOGY
44696	"WILSON, STEPHEN GORDON"	"WILSON, STEPHEN GORDON"
44697	WOLLEMI SYSTEMS PTY LTD	WOLLEMI SYSTEMS
44698	ACT 4 COMMUNICATIONS PTY. LTD.	ACT 4 COMMUNICATIONS
44699	BEASLEY INTERCULTURAL PTY. LTD.	BEASLEY INTERCULTURAL
44700	BRAVE NEW WORLD CONSULTING PTY LTD	BRAVE NEW WORLD CONSULTING
44701	CADENCE ECONOMICS PTY LIMITED	CADENCE ECONOMICS
44702	CDS WORLDWIDE PTY. LTD.	CDS WORLDWIDE
44703	CONDAT PROJEKT GMBH	CONDAT PROJEKT
44704	D2N PTY LTD	D2N
44705	DENTSU MITCHELL MEDIA AUSTRALIA PTY LTD	DENTSU MITCHELL MEDIA
44706	DEPARTMENT OF JUSTICE	DEPARTMENT OF JUSTICE AND ATTORNEY GENERAL
44707	GENERAL DYNAMICS LAND SYSTEMS - CAN	GENERAL DYNAMICS
44708	"GENERAL DYNAMICS MISSION SYSTEMS, I"	GENERAL DYNAMICS
44709	JAMA SOFTWARE	JAMA SOFTWARE
44710	KONGSBERG MARITIME AS	KONGSBERG
44711	"MAHAJAN, RAJAT"	"MAHAJAN, RAJAT"
44712	MOSAIC EVENT MANAGEMENT INC.	MOSAIC EVENT MANAGEMENT
44713	NATIONAL PRESCRIBING SERVICE LIMITED	NATIONAL PRESCRIBING SERVICE
44714	NSERVICEBUS	NSERVICEBUS
44715	ONE IOTA PTY. LTD.	ONE IOTA
44716	P. & B. BULTE (NO 2) PTY. LTD.	P. & B. BULTE (NO 2)
44717	STRATIX (AUSTRALIA) PTY LTD	STRATIX (AUSTRALIA)
44718	TECALEMIT PTY LIMITED	TECALEMIT
44719	THE TRUSTEE FOR L P UNIT TRUST	THE TRUSTEE FOR L P UNIT TRUST
44720	THE TRUSTEE FOR THE INTERLEGAL UNIT TRUST	THE TRUSTEE FOR THE INTERLEGAL UNIT TRUST
44721	TITUS LABS INC DBA TITUS INC	TITUS LABS DBA TITUS
44722	VARIDESK LLC	VARIDESK
44723	YNOT CONSULTING SERVICES PTY LTD	YNOT CONSULTING SERVICES
44724	EPISERVER INC	EPISERVER AUSTRALIA
44725	GEL GOV GROUP PTY LTD	GEL GOV GROUP
44726	GFS INTERNATIONAL PTY. LIMITED	GFS INTERNATIONAL
44727	HALSION LDA	HALSION LDA
44728	LEGEND CORPORATE SERVICES PTY LIMITED	LEGEND CORPORATE SERVICES
44729	RIVERLEEN FINANCE PTY LTD	RIVERLEEN FINANCE
44730	SPACECUBED INNOVATION LTD	SPACECUBED INNOVATION
44731	TALEND AUSTRALIA PTY LTD	TALEND
44732	ABACUS INNOVATIONS AUSTRALIA PTY LIMITED	LEIDOS
44733	ACCSYS CONSULTING PTY LIMITED	ACCSYS CONSULTING
44734	CORINIUM GLOBAL INTELLIGENCE PTY LTD	CORINIUM GLOBAL INTELLIGENCE
44735	CROSSCHECK NETWORKS APAC LIMITED	CROSSCHECK NETWORKS
44736	EEVA AI LIMITED	EEVA AI
44737	LYNDA.COM.INC	LYNDA.COM
44738	MARQUE CONSULTING (ACT) PTY. LTD.	MARQUE CONSULTING
44739	SECOM TECHNICAL SERVICES PTY. LIMITED	SECOM TECHINCAL SERVICES
44740	SHAREGATE	SHAREGATE
44741	SHOWMARK LLC	SHOWMARK
44742	TOLL HOLDINGS LIMITED	TOLL HOLDINGS
44743	VEITCH LISTER CONSULTING PTY LTD.	VEITCH LISTER CONSULTING
44744	AUSTRALIAN ENERGY MARKET OPERATOR LIMITED	AUSTRALIAN ENERGY MARKET OPERATOR
44745	CANBERRA COMMUNICATIONS PTY LTD	CANBERRA COMMUNICATIONS
44746	CLARK MASTS SYSTEMS LIMITED	CLARK MASTS SYSTEMS
44747	D.J MALONEY & W.G NEVILLE & D.R SOMERVAILLE	D.J MALONEY & W.G NEVILLE & D.R SOMERVAILLE
44748	DDLS AUSTRALIA PTY LIMITED	DDLS AUSTRALIA
44749	DEMYSTIFY PTY LTD	DEMYSTIFY
44750	DEPARTMENT OF HEALTH OF WA	DEPARTMENT OF HEALTH OF WA
44751	DROPBOX IRELAND LIMITED	DROPBOX IRELAND
44752	EA LEARNING PTY LTD	EA LEARNING
44753	EMERSON PROCESS MANAGEMENT AUSTRALIA PTY LTD	EMERSON PROCESS MANAGEMENT AUSTRALIA
44754	EPICOR SOFTWARE (AUST) PTY LTD	EPICOR SOFTWARE
44755	GE ENERGY MEASUREMENT & CONTROL PTY LTD	GE
44756	KUL TECHNOLOGIES PTY LTD	KUL TECHNOLOGIES
44757	LIBERO DIGITAL PTY LTD	LIBERO DIGITAL
44758	LINKEDIN SINGAPORE PTE LTD	LINKEDIN
44759	MOBILISE IT PTY. LTD.	MOBILISE IT
44760	MSS SECURITY PTY LIMITED	MSS SECURITY
44761	NOVA SYSTEMS AUSTRALIA PTY LTD	NOVA SYSTEMS AUSTRALIA
44762	ORC INTERNATIONAL PTY LTD	ORC INTERNATIONAL
44763	PACIFIC DATA SYSTEMS AUSTRALIA PTY LTD	PACIFIC DATA SYSTEMS
44764	PETECH PTY. LIMITED	PETECH
44765	PREEMPTIVE SOLUTIONS L	PREEMPTIVE SOLUTIONS
44766	PROBITAS CONSULTANTS PTY LTD	PROBITAS CONSULTANTS
44767	PYRIOS PTY LIMITED	PYRIOS
44768	RADIO WAREHOUSE PTY LTD	RADIO WAREHOUSE
44769	RAND CORPORATION	RAND CORPORATION
44770	RHEINMETALL MAN MILITARY VEHICLES AUSTRALIA PTY LIMITED	RHEINMETALL MAN MILITARY VEHICLES AUSTRALIA
44771	SANDHILL CONSULTANTS LTD	SANDHILL CONSULTANTS
44772	SCOTT AUTOMATION & ROBOTICS PTY LIMITED	SCOTT AUTOMATION & ROBOTICS
44773	SERVICEPOINT AUSTRALIA PT	SERVICEPOINT
44774	SMART ENERGY SOLUTIONS AUSTRALIA PTY LTD	SMART ENERGY SOLUTIONS AUSTRALIA
44775	SPENCER GROUP INC	SPENCER GROUP
44776	STREAMCOMPUTING BV	STREAMCOMPUTING
44777	STREAMSETS INC	STREAMSETS
44778	TELEDYNE CARIS INC	TELEDYNE CARIS
44779	THE TRUSTEE FOR SNELL FAMILY TRUST	THE TRUSTEE FOR SNELL FAMILY TRUST
44780	THE TRUSTEE FOR VAWCOMM NO. 2 TRUST	THE TRUSTEE FOR VAWCOMM NO. 2 TRUST
44781	THE WALLBRIDGE & GILBERT UNIT TRUST	THE WALLBRIDGE & GILBERT UNIT TRUST
44782	UMETRICS	UMETRICS
44783	WORMALD AUSTRALIA PTY LTD	WORMALD
44784	ACCLAIM CONTRACTORS PTY LTD	ACCLAIM CONTRACTORS
44785	AERO INTERNATIONAL INCORPORATED	AERO INTERNATIONAL
44786	APOLLO TECHNOLOGY PTY LTD	APOLLO TECHNOLOGY
44787	AV-COMM PTY LTD	AV-COMM
44788	CAENDRA*ELEARNS-C9-HERA	CAENDRA*ELEARNS-C9-HERA
44789	CASE 4 CONSULTING PTY LIMITED	CASE 4 CONSULTING
44790	CATESIAN INC	CATESIAN
44791	CMU-ENGINEERING INSTUT	CMU-ENGINEERING INSTUT
