IdSon,Description,sonid,AustenderCategory,Status,internalcomment,ContractProcessingCategory,ContractProcessingSubCategory,IdCat,Title
1219,Fountain maintenance,SON75,Building construction and support and maintenance and repair services,Inactive,,Non-ICT,Non-ICT,53,
1220,Temporary staff,SON76,Temporary personnel services,Inactive,,Non-ICT,Non-ICT,53,
1221,Telephone console attendant services,SON78,Temporary personnel services,Inactive,,Non-ICT,Non-ICT,53,
1222,Medical alarms,SON82,Patient care and treatment products and supplies,Inactive,,Non-ICT,Non-ICT,53,
1223,Heart Health Program,SON88,Healthcare Services,Inactive,,Non-ICT,Non-ICT,53,
1224,Drivers for Leaders Week.,SON39769,Temporary drivers,Inactive,,Non-ICT,Non-ICT,53,
1225,Supply of Smallgoods to the Department of Defence RAAF Base Tindal,SON39937,Meat and poultry products,Inactive,,Non-ICT,Non-ICT,53,
1226,Supply of Eggs to the Department of Defence RAAF Base Tindal,SON40108,Dairy products and eggs,Inactive,,Non-ICT,Non-ICT,53,
1227,Supply of Groceries to the Department of Defence RAAF Base Tindal,SON40109,Food and Beverage Products,Inactive,,Non-ICT,Non-ICT,53,
1228,Provision of electro-mechanical computer aided support services for Defence Science and Technology Organisation.,SON40110,Professional engineering services,Inactive,,Non-ICT,Non-ICT,53,
1229,Provision of Tailoring and Medal Mounting Services to the Department of Defence RAAF Base Tindal,SON40111,Sewing and stitchery and weaving equipment and accessories,Inactive,,Non-ICT,Non-ICT,53,
1230,Provision of Specialised Professional Botanist Services to the Department of Defence (Headquarters Northern Command),SON40113,Flora protection,Inactive,,Non-ICT,Non-ICT,53,
1231,06/1532 - Standing Offer for the Provision of Primary Modules to International Airports,SON40402,Workstations and office packages,Inactive,,Non-ICT,Non-ICT,53,
1232,06/1574 - Standing Offer for the Provision of Pyschological Services,SON40403,Psychologists services,Inactive,,Non-ICT,Non-ICT,53,
1233,Provision of mechanical computer aided drafting services for Defence Science and Technology Organisation.,SON40552,Engineering and Research and Technology Based Services,Inactive,,Non-ICT,Non-ICT,53,
1234,Ballistic Plate Testing,SON40692,Body armour,Inactive,,Non-ICT,Non-ICT,53,
1235,Project management training services,SON41393,Education and Training Services,Inactive,,Non-ICT,Non-ICT,53,
1236,Provision to Supply and Install Work Station Components and Ancillery Furniture,SON41437,Structures and Building and Construction and Manufacturing Components and Supplies,Inactive,,Non-ICT,Non-ICT,53,
1237,Panel for Large Marine Research Vessels (over 45M LOA),SON36310,Seismic vessel,Inactive,,Non-ICT,Non-ICT,53,
1238,Complex procurement advice and support,SON41519,Professional procurement services,Inactive,,Non-ICT,Non-ICT,53,
1239,Salary Packaging Administration,SON41534,Human resources services,Inactive,,Non-ICT,Non-ICT,53,
1240,Procurement Panel for the provision services relating to: procurement advice including market research and advice regarding appropriate procurement methods; tender preparation and evaluation;and probity advice and audit.,SON41747,Professional procurement services,Inactive,,Non-ICT,Non-ICT,53,
1241,Legal Services panel,SON41765,Legal services,Inactive,,Non-ICT,Non-ICT,53,
1242,Quality Improvement Facilitators,SON41772,Business and corporate management consultation services,Inactive,,Non-ICT,Non-ICT,53,
1243,"Supply, maintenance and installation of gymnasium equipment",SON41882,Fitness equipment,Inactive,,Non-ICT,Non-ICT,53,
1244,Provision of Occupational Health and Safety Services,SON38199,Management advisory services,Inactive,,Non-ICT,Non-ICT,53,
1245,supply of promotional items and corporate merchandise,SON42095,Promotional merchandise,Inactive,,Non-ICT,Non-ICT,53,
1246,Face-to-face training delivery of Public Services Training Package,SON42096,Education and Training Services,Inactive,,Non-ICT,Non-ICT,53,
1247,Development of e-learning content,SON42100,Education and Training Services,Inactive,,Non-ICT,Non-ICT,53,
1248,Provision of coaching and mentoring services,SON42101,Vocational training,Inactive,,Non-ICT,Non-ICT,53,
1249,Provision of driver training courses,SON42234,Education and Training Services,Inactive,,Non-ICT,Non-ICT,53,
1250,"Consultative services relating to the maintenance of the Australian War Memorial, London.",SON42328,Building construction and support and maintenance and repair services,Inactive,,Non-ICT,Non-ICT,53,
1251,Provision of bread to HMA ships and Department of Defence establishments in the Sydney metropolitan area.,SON42344,Bread and bakery products,Inactive,,Non-ICT,Non-ICT,53,
1252,"Provision of frozen and chilled meat, poultry, bacon, ham and small goods to HMA ships and Department of Defence establishments in the Sydney metropolitan region.",SON42353,Meat and poultry products,Inactive,,Non-ICT,Non-ICT,53,
1253,"Provision of blockcake, pastries, seafood, general groceries, quickfrozen vegetables and food to the Royal Australian Navy in the Sydney metropolitan region.",SON42599,Fruits and vegetables and nuts and seeds,Inactive,,Non-ICT,Non-ICT,53,
1254,Provision of sanitary disposal units to the Royal Australian Navy.,SON42601,Sanitary waste receptacles,Inactive,,Non-ICT,Non-ICT,53,
1255,Supply of camouflage paint - enamel and polyurethane,SON43486,Paints and primers and finishes,Inactive,,Non-ICT,Non-ICT,53,
1256,To provide Infomation and Communications Technology Training to Remote Indigenous Communities,SON43910,Vocational training,Inactive,,Non-ICT,Non-ICT,53,
1257,"Design, Printing and photocopying panel",SON44288,Stationery or business form printing,Inactive,,Non-ICT,Non-ICT,53,
1258,Financial Advice and Assistance,SON42111,Accounting and auditing,Inactive,,Non-ICT,Non-ICT,53,
1259,Facilitation of VVCS group programs,SON43358,Medical practice,Inactive,,Non-ICT,Non-ICT,53,
1260,Provision of items of office furniture to the Department of Defence (ACT/SNSW region).,SON44658,Office furniture,Inactive,,Non-ICT,Non-ICT,53,
1261,NHMRC Register of Publication Assessment Consultants,SON44820,Management and Business Professionals and Administrative Services,Inactive,,Non-ICT,Non-ICT,53,
1262,NHMRC register of experts in evidence-based medicine,SON44825,Management and Business Professionals and Administrative Services,Inactive,,Non-ICT,Non-ICT,53,
1263,Internal Audit Services,SON44842,Management and Business Professionals and Administrative Services,Inactive,,Non-ICT,Non-ICT,53,
1264,Debt Collection Services,SON44907,Credit agencies,Inactive,,Non-ICT,Non-ICT,53,
1265,Social Policy Research Panel,SON45005,Social policy services,Inactive,,Non-ICT,Non-ICT,53,
1266,Panel of Trade Contractors for Small Building Works in the Northern Territory,SON45075,Structures and Building and Construction and Manufacturing Components and Supplies,Inactive,,Non-ICT,Non-ICT,53,
1267,COMCAR Driver Training,SON45161,Vehicle driving schools services,Inactive,,Non-ICT,Non-ICT,53,
1268,Construction of official memorials for OAWG,SON45165,Building and Construction and Maintenance Services,Inactive,,Non-ICT,Non-ICT,53,
1269,"Provision of engineering design services for Defence Science & Technology Organisation, Department of Defence.",SON45185,Professional engineering services,Inactive,,Non-ICT,Non-ICT,53,
1270,Veterans' Home Care,SON45213,Domestic and personal assistance,Inactive,,Non-ICT,Non-ICT,53,
1271,The provision for VHC services in NSW,SON45246,Domestic and personal assistance,Inactive,,Non-ICT,Non-ICT,53,
1272,Waste Collection & Disposal Services-6 Epic Place Chester Hill NSW 2162,SON45252,Decontamination services,Inactive,,Non-ICT,Non-ICT,53,
1273,Aged Care Education and related advisory services,SON45264,Management advisory services,Inactive,,Non-ICT,Non-ICT,53,
1274,Day Club Advisory Services and production of related media and training materials,SON45266,Management advisory services,Inactive,,Non-ICT,Non-ICT,53,
1275,Provision of rehabilitation aids and equipment,SON45287,Independent living aids for the physically challenged,Inactive,,Non-ICT,Non-ICT,53,
1276,"The service elements range from research design, to collation and / or analysis of results, major data collection exercises (both qualitative and quantitive) in a number of markets e.g Global Brand Tracking to one off small scale projects, as well as strategy formulation and presentation of results . TA is seeking an effective relationship with Service Providers such that new research approaches and techniques can be incorporated over the life of the contract",SON45385,Market research,Inactive,,Non-ICT,Non-ICT,53,
1277,Assessment Services in certificate IV Customer contact for Centrelink Call,SON37904,Distance learning assessment services,Inactive,,Non-ICT,Non-ICT,53,
1278,Provision of Project Management and other Construction Related Consultancy Services at Old Parliament House,SON44564,Building and Construction and Maintenance Services,Inactive,,Non-ICT,Non-ICT,53,
1279,"Provision of Minor Works at Old Parliament House, Canberra",SON44920,Building and Construction and Maintenance Services,Inactive,,Non-ICT,Non-ICT,53,
1280,STANDING OFFER FOR THE SUPPLY OF SPARE PARTS FOR THE AUSTEYR F88 RIFLE.,SON45595,Light weapons and ammunition,Inactive,,Non-ICT,Non-ICT,53,
1281,STANDING OFFER FOR THE INSPECTION AND REPAIR OF THE AUSTEYR F88 RIFLE,SON45684,Light weapons and ammunition,Inactive,,Non-ICT,Non-ICT,53,
1282,STANDING OFFER FOR THE SUPPLY OF BOTH 50mm AND 100mm CLEANING CLOTH FOR SERVICE RIFLES FOR A PERIOD OF THREE YEARS,SON45685,Cleaning cloths or wipes,Inactive,,Non-ICT,Non-ICT,53,
1283,"Provision of milk, cream and fruit juice to Defence in the Sydney metropolitan area",SON45873,Dairy products and eggs,Inactive,,Non-ICT,Non-ICT,53,
1284,Property Related Service Panel,SON46190,Building construction and support and maintenance and repair services,Inactive,,Non-ICT,Non-ICT,53,
1285,Panel for provision of statistical and research services,SON46343,Statistics,Inactive,,Non-ICT,Non-ICT,53,
1286,Financial Management Consulting and Solutions Panel,SON46356,Management advisory services,Inactive,,Non-ICT,Non-ICT,53,
1287,HR Management Consultancy Services Panel,SON46391,Human resources services,Inactive,,Non-ICT,Non-ICT,53,
1288,Stationery and Office Products,SON46406,Office supplies,Inactive,,Non-ICT,Non-ICT,53,
1289,Procurement Support Services Panel,SON46407,Business administration services,Inactive,,Non-ICT,Non-ICT,53,
1290,Building Stakeholder Value Panel,SON46425,Management advisory services,Inactive,,Non-ICT,Non-ICT,53,
1291,Security Vetting Services Panel,SON46479,Business administration services,Inactive,,Non-ICT,Non-ICT,53,
1292,Legal Services Panel,SON46480,Legal services,Inactive,,Non-ICT,Non-ICT,53,
1293,Removal and storage of household goods and vehicles,SON46613,Relocation services,Inactive,,Non-ICT,Non-ICT,53,
1294,Marketing Support Services Panel,SON47064,Marketing and distribution,Inactive,,Non-ICT,Non-ICT,53,
1295,Panel of Project Managers for Small Building Works in the Norther Territory,SON47184,Structures and Building and Construction and Manufacturing Components and Supplies,Inactive,,Non-ICT,Non-ICT,53,
1296,"Research, facilitation, analysis and reporting services",SON47277,Law enforcement vocational training services,Inactive,,Non-ICT,Non-ICT,53,
1297,Film and Video Panel,SON47424,Photographic or filming or video equipment,Inactive,,Non-ICT,Non-ICT,53,
1298,Employee Communications Panel,SON47438,Human resources services,Inactive,,Non-ICT,Non-ICT,53,
1299,Provsion of Pest Control Services,SON47512,Pest control products,Inactive,,Non-ICT,Non-ICT,53,
1300,Training & Development Consultancy Services Panel,SON47656,Human resources services,Inactive,,Non-ICT,Non-ICT,53,
1301,Provision of Security Training Services,SON47733,Education and Training Services,Inactive,,Non-ICT,Non-ICT,53,
1302,"Supplementary Panel for Audit, Risk Management, Fraud Control & BCM Services",SON47947,Audit services,Inactive,,Non-ICT,Non-ICT,53,
1303,Provision of senior executive recruitment services,SON48011,Recruitment services,Inactive,,Non-ICT,Non-ICT,53,
1304,DOTARS National Office Refurbishment Project - Project Management Services,SON48120,Project management,Inactive,,Non-ICT,Non-ICT,53,
1305,LAUNCH AND RECOVERY VEHICLE (LRV) MODIFICATIONS,SON48139,Product and material transport vehicles,Inactive,,Non-ICT,Non-ICT,53,
1306,REPAIRS TO BRIDGE ERECTION PROPULSION BOAT LIFTING LUGS,SON48619,Workover boats,Inactive,,Non-ICT,Non-ICT,53,
1307,Standing Offer arrangements for the Supply of Diagnostic Reagents,SON49237,Healthcare Services,Inactive,,Non-ICT,Non-ICT,53,
1308,06/1465 - Standing Offer for the Provison of Fitness Services - Fitness Testing Services Panel,SON49298,Comprehensive health services,Inactive,,Non-ICT,Non-ICT,53,
1309,Provision of Graphic Design Services,SON49990,Graphic design,Inactive,,Non-ICT,Non-ICT,53,
1310,Provision of Freight Services,SON50246,Stationery,Inactive,,Non-ICT,Non-ICT,53,
1311,Provision of electricity to Department of Defence establishments in Queensland.,SON50306,Electric utilities,Inactive,,Non-ICT,Non-ICT,53,
1312,THE PROVISION OF REMOVALS AND STORAGE SERVICES,SON50460,Relocation services,Inactive,,Non-ICT,Non-ICT,53,
1313,Design and Strategy Services,SON50483,Management advisory services,Inactive,,Non-ICT,Non-ICT,53,
1314,Security Vetting Services,SON51152,Security and personal safety,Inactive,,Non-ICT,Non-ICT,53,
1315,Provision of Investigative service to explore staff grievance ans suspected code of conduct breaches,SON51282,Management and Business Professionals and Administrative Services,Inactive,,Non-ICT,Non-ICT,53,
1316,NS0721 Supply of Office Products,SON51556,Office supplies,Inactive,,Non-ICT,Non-ICT,53,
1317,Public Relations and Marketing Campaigns,SON37091,Public relation services,Inactive,,Non-ICT,Non-ICT,53,
1318,Creative Writing and Editing,SON37327,Creative writing,Inactive,,Non-ICT,Non-ICT,53,
1319,Graphic Design,SON37349,Graphic design,Inactive,,Non-ICT,Non-ICT,53,
1320,"Clerical and Administrative Services to Seminars, Conferences and I nternational talks",SON52099,Business administration services,Inactive,,Non-ICT,Non-ICT,53,
1321,"The provision of office design, fit-out, refurbishment and related construction services.",SON52113,Building and Construction and Maintenance Services,Inactive,,Non-ICT,Non-ICT,53,
1322,"Provision of creative services for National Museum of Australia including but not limited to brand management, development of new and creative brands for campaigns for Museum exhibits and events, marketing and graphic design.",SON53144,Marketing and distribution,Inactive,,Non-ICT,Non-ICT,53,
1323,"Manufacture, supply and fitting of decals to AFP vehicles",SON53262,Police vehicles,Inactive,,Non-ICT,Non-ICT,53,
1324,Data assessment of toxicology hazard,SON54357,Toxicology analysers,Inactive,,Non-ICT,Non-ICT,53,
1325,Data assessment of toxicology hazard,SON54363,Toxicology analysers,Inactive,,Non-ICT,Non-ICT,53,
1326,Data assessment of toxicology hazard,SON54365,Toxicology analysers,Inactive,,Non-ICT,Non-ICT,53,
1327,Mail services for the Office of Hearing,SON54465,Transportation and Storage and Mail Services,Inactive,,Non-ICT,Non-ICT,53,
1328,Provision of Treasury's in-house Lawyer - Australian Government Solicitor,SON54513,Legal services,Inactive,,Non-ICT,Non-ICT,53,
1329,Supply of maintenance and engineering consumable products,SON54518,Structures and Building and Construction and Manufacturing Components and Supplies,Inactive,,Non-ICT,Non-ICT,53,
1330,Workstations,SON54655,Office and desk accessories,Inactive,,Non-ICT,Non-ICT,53,
1331,"FAN CENTRIFUGAL, CABLE ASSEMBLY SPECIAL AND DOOR ACCESS GENERAL PURPOSE.",SON54699,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1332,"NUT,PLAIN BLIND RIVET NSN- 5310-66-156-0775",SON54711,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1333,"NET,MULTIPUPOSE, MOUNT RESILIENT, CHARGER BATTERY, ARM REARVIE MIRROR, COVER PROTECTIVE DUST,SEAT VEHICULAR, COLLOER FLUID, COVER BATTERY BOX, SEAL,PLAIN,CRANK WIPER MOTOR, AND STEP TAILGATE.",SON54712,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1334,"FITTING,LUBRICATION,STRAP WEBBING, CAP,PNEUMATIC VALVE, MARKER IDENTIFICATION,HOSE NONMETALLIC, FILTER ELEMENT, COVER ACCESS, DIFFUSER AIR VEHICULAR, FILTER ELEMENT,COVER WINCH, GUIDE ROLELR, SHAFT, CRANK DRIVE,WINDSHIELD.",SON54713,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1335,"GUIDE CARTRIDGE,AMMUNITION, GENERATOR ALTERNATING CURRENT,",SON55065,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1336,"STRAP,WEBBING, STRAIN GAE, CAP,FILLER OPENING,SHFT STRAIGHT,INDICATOR,LIQUID, TACHOMETER,ELECTRONIC, SPEEDDOMETER, INDICATOR,LIQUID QUANTITY,VOLTMETER, DIRECTIONL LIGHT VEHICULAR, SEAT,VEHICUALR, NUT,SELF-LOCKING HEXAGON,LATCH DOOR VEHICULAR, PUMP FUEL, ELECTRICAL, PART KIT KINGPIN,",SON55067,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1337,"WHEEL,PNEUMATIC TIRE",SON55069,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1338,Rental agreement - Cancer Council of Vic,SON55192,Lease and rental of property or building,Inactive,,Non-ICT,Non-ICT,53,
1339,Tenancy Agreement - CEO accommodation,SON55198,Residential rental,Inactive,,Non-ICT,Non-ICT,53,
1340,Office stationery,SON55200,Stationery,Inactive,,Non-ICT,Non-ICT,53,
1341,"NSN'S- 2540-66=155=4186, 2540-66-155-4185 AND 2540-66-155-8555. DESCRIPTUION- BOX ACCESSORIES STOWAGE,",SON55390,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1342,"NSN'S- 5306-66-55-2153, 4810-66-152-8773, 6220-66-152-5506,2540-66-152-1417,2910-66-153-3581,2540-66-151-9921 & 2510-66-152-2617. DESCRIPTION- BOLT MACHINE, VALVE REGULATING, FLUIED, DIRECTIONAL LIGHT VEHICULAR, CRANK WIPER MOTEOR,PUMP FUEL ELECTRICAL, CARNK, DRIVE WINSHIELD WIPER ASSEMBLY, STEP TAILGATE.",SON55392,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1343,"REMOVAL TOOL, BALL JOINT, LOCKER TOOL AND TESTER,INTERNAL COMBUSTION ENGINE. NSN'S- 5120-66-152-8934, 7125-66-152-1398 AND 4910-01-491-0701.",SON55397,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1344,"SPRING HELICAL EXTENSION,PIN QUICK RELEASE,KEY SWITCH, REAR STEP ASSEMBLY,LEAF BUTT HINGE, PIN STRAIGHT HEADED, CLAMP HOSE, STUD TURNLOCK FASTENER,INSER SCREW THREAD. NSN'S-66-153-7787,66-155-1861,66-153-7795,66-153-7795,66-155-7682,66-155-7680 AND VARIOUS NSN'S.",SON55421,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1345,"SHAFT STRAIGHT,DRIECTIONAL LIGHT VEHICULAR, NUT SELF LOCKING HEXAGON, SEAL NONMETALLIC SPECIAL,RESISTEOR, ANNUNCIATOR, VALVE REGULATING FLUID PRESSUR.",SON55441,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1346,Facillitation of VVCS group programs,SON55524,Comprehensive health services,Inactive,,Non-ICT,Non-ICT,53,
1347,Legal Services Panel,SON53795,Legal services,Inactive,,Non-ICT,Non-ICT,53,
1348,Day Procedure Centres,SON50010,Comprehensive health services,Inactive,,Non-ICT,Non-ICT,53,
1349,Printing,SON55772,Printed media,Inactive,Withdrawn from Austender (DT 30/07/2013),Non-ICT,Non-ICT,53,
1350,Services to the Army Capability Management System Sustainment Program,SON56093,Enterprise resource planning ERP software,Inactive,,Non-ICT,Non-ICT,53,
1351,"INSERT SCREW THREAD,STUD,WASHER FLAT,AND PIN EXPANDING GRIP. NSN'S 5325-66-152-8370,5325-66-1530908,5310-66-1507819 & 5315-66-156-1503.",SON56283,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1352,"RESISTOR VARABLE WIRE,SWITCH PUSH,INSULATOR BUSHING,STOP LIGHT TAILLIGHT,COVER VEHICULAR LIGHT,DIRECTIONAL LIGHT VEHICULAR, LIGHT BLACKOUT AND ANNUNCIATOR.",SON56408,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1353,"SHIPPING AND STORAGE CONTAINER NSN-8145-66-154-6240,4743,4751,4746 AND 8145-66-154-6239",SON56415,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1354,"COVER PTROTECTIVE DUST AND MOISTURE SEAL, VLAVE FLOW CONTROL, & REAR STEP ASSEMBLY NSN'S-5340-66-153-9927,4820-01-095-1697,2540-66-153-7795",SON56429,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1355,Payroll Services 2007/08,SON55516,Payroll accounting services,Inactive,Withdrawn from Austender (DT 30/07/2013),Non-ICT,Non-ICT,53,
1356,DESCRIPTION- SHIPPING AND STORAGE CONTAINER NSN- 8145-66-156-4213,SON56751,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1357,Community Care Services,SON56842,Community and social services,Inactive,,Non-ICT,Non-ICT,53,
1358,Legal Services Panel,SON56914,Legal services,Inactive,,Non-ICT,Non-ICT,53,
1359,Translation for Print Media Services,SON57073,Written translation services,Inactive,,Non-ICT,Non-ICT,53,
1360,Provide Shelter and Protection to Recently Displaced Persons,SON57146,Humanitarian aid and relief,Inactive,,Non-ICT,Non-ICT,53,
1361,Disposal Repair and Maintenance of Portable Fire Extinguishers.,SON57248,Fire fighting equipment,Inactive,,Non-ICT,Non-ICT,53,
1362,Provision of expert (economic and subject matter) consultancy services,SON57474,Management advisory services,Inactive,,Non-ICT,Non-ICT,53,
1363,Technical Writer and Editing Panel,SON58679,Management and Business Professionals and Administrative Services,Inactive,,Non-ICT,Non-ICT,53,
1364,"STEERING GEAR, TAPE PRESSURE SENSITIVE ADHE AND FILTER ELEMENT. NSN'S- 2530-66-152-8418,66,01-555-8830 AND VARIOUS NSN'S",SON58767,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1365,REPAIR OF AIRCRAFT COMPONENTS: NSN 6115-01-148-9696 GENERATOR SERIAL NO: 5179,SON58791,Military rotary wing aircraft,Inactive,,Non-ICT,Non-ICT,53,
1366,Provision of Vehicle Rental Services,SON58831,Motor vehicles,Inactive,,Non-ICT,Non-ICT,53,
1367,Instrument Approach Validation Services,SON58911,Aircraft,Inactive,,Non-ICT,Non-ICT,53,
1368,Aviation Safety Consultants and Contractors Multi-Use List (MUL),SON58976,Business and corporate management consultation services,Inactive,,Non-ICT,Non-ICT,53,
1369,Facilitation Arrangements for Learning & Development Projects,SON58981,Development,Inactive,,Non-ICT,Non-ICT,53,
1370,AusCheck Fees,SON59108,Financial accounting,Inactive,,Non-ICT,Non-ICT,53,
1371,Assist with cases under the Veterans' Entitlements Act 1986 at the Administrative Appeals Tribunal,SON59419,Legal services,Inactive,,Non-ICT,Non-ICT,53,
1372,For professional services associated with the Australian War Memorial London,SON59443,Management advisory services,Inactive,,Non-ICT,Non-ICT,53,
1373,WINDSHIELD PANEL AIRCRAFT QUANTITY10 P/No 206-540-002; MC 97499,SON59671,Military rotary wing aircraft,Inactive,,Non-ICT,Non-ICT,53,
1374,Library Recruitment and Consultancy Services,SON54426,Recruitment services,Inactive,,Non-ICT,Non-ICT,53,
1375,Contact Centre Consultancy Services,SON56819,Business and corporate management consultation services,Inactive,,Non-ICT,Non-ICT,53,
1376,Procurement Services,SON59904,Professional procurement services,Inactive,,Non-ICT,Non-ICT,53,
1377,Provision for Development and Implementation of Background Components for Australian Citizenship Test,SON61439,Management advisory services,Inactive,,Non-ICT,Non-ICT,53,
1378,Panel for Small Marine Research Vessels (under 45m LOA),SON62676,Seismic vessel,Inactive,,Non-ICT,Non-ICT,53,
1379,Supply of Evaporation Equipment and Rain Gauges,SON62735,Measuring and observing and testing instruments,Inactive,,Non-ICT,Non-ICT,53,
1380,Provision for Development and Implementation of Public Relations Components for Australian Citizenship Test,SON62960,Public relations programs or services,Inactive,,Non-ICT,Non-ICT,53,
1381,Provision for Supply and Installation of Workstations and Desks (published under GAPS ID 24898),SON63052,Office furniture,Inactive,,Non-ICT,Non-ICT,53,
1382,Process Server services to all CDPP offices,SON60081,Legal services,Inactive,,Non-ICT,Non-ICT,53,
1383,"SENSING ELEMENT,FIRE DETECTOR SYSTEM,CONTROL SYSTEM,FIRE SUPPRESSION AND TEST SET,FIRE CONTROL SYSTEM",SON63315,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1384,"Evidence Prctice Gaps, Evidence Searching and Literature Reveiws",SON63325,Management and Business Professionals and Administrative Services,Inactive,,Non-ICT,Non-ICT,53,
1385,"Legal Services provider. This SON was previously published in www.contracts.gov.au under SON24540, SON24541 and SON24542",SON63386,Legal services,Inactive,,Non-ICT,Non-ICT,53,
1386,"SWITCH,ROTARY,SEAL NONMETALLIC, BRACKET MOUNTING AND CAN AMMUNITION.",SON63425,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1387,"BATTERY,STORAGE NSN- 6140-66-152-4556",SON63435,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1388,Standing Offer arrangements for the Supply of product under a contingent arrangement,SON63439,Healthcare Services,Inactive,,Non-ICT,Non-ICT,53,
1389,Printing and Related Services,SON52768,Printed media,Inactive,,Non-ICT,Non-ICT,53,
1390,Purchase of Maroochydore property,SON63693,Sale of property and building,Inactive,,Non-ICT,Non-ICT,53,
1391,CHARGER BATTERY NSN- 6030-66-147-0600,SON63776,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1392,Provision of a business case for cabinet consideration for the Standard Business Reporting programme.,SON63811,Management and Business Professionals and Administrative Services,Inactive,,Non-ICT,Non-ICT,53,
1393,Office Equipment - Storage. Previously advertised in GAPS ID25285,SON63942,Shelving and storage,Inactive,,Non-ICT,Non-ICT,53,
1394,Administrative Support Services @ VVCS Adelaide,SON64118,Human resources services,Inactive,,Non-ICT,Non-ICT,53,
1395,"Washer cup, Washer retainer, bolt Machine, Coupling Hlaf, Quick Disconnect, Clamp Hose, Valve Soleniod, Filter Element Air conditioning,Washer flat, Valve Brake Pneumatic, Spacer Sleeve, Wrench Spanner, Bolt Machine, Valve Regulatng fluid pressure, Nut plain extended washer hexagon,and Heat intercharger refrigerant.",SON64173,Commercial and Military and Private Vehicles and their Accessories and Components,Inactive,,Non-ICT,Non-ICT,53,
1396,Relocation of Office Furniture and Fittings,SON64244,Transport operations,Inactive,,Non-ICT,Non-ICT,53,
1397,Provision of the consumer and financial literacy professional learning project.,SON64394,Education and Training Services,Inactive,,Non-ICT,Non-ICT,53,
1398,Financial Assessment Services,SON64436,Management and Business Professionals and Administrative Services,Inactive,,Non-ICT,Non-ICT,53,
1399,Development of the financial literacy professional learning package under the Treasury/DEEWR MOU.,SON64491,Management and Business Professionals and Administrative Services,Inactive,,Non-ICT,Non-ICT,53,
1400,Provision of Onshore Seismic Data Acquisition Services,SON64553,Seismic equipment,Inactive,,Non-ICT,Non-ICT,53,
1401,Deed of Standing Offer for the Provision of Advice on Legal Issues Relating to Water Resource Management,SON64845,Legal services,Inactive,,Non-ICT,Non-ICT,53,
1402,Provision role players (actors) to the International Deployment Group,SON64933,Performing arts,Inactive,,Non-ICT,Non-ICT,53,
1403,Panel for provision of security services,SON65059,Management advisory services,Inactive,,Non-ICT,Non-ICT,53,
1404,Supply of small and large towable storage bags for use in oil spill cleanups.,SON65310,Environmental protection,Inactive,,Non-ICT,Non-ICT,53,
1405,Supply of Air Inflated General Purpose Boom,SON65312,Environmental protection,Inactive,,Non-ICT,Non-ICT,53,
1406,Supply of Shoreline Protection Boom,SON65313,Environmental protection,Inactive,,Non-ICT,Non-ICT,53,
1407,CASA Travel Management Services - Second Round,SON65394,Travel agencies,Inactive,,Non-ICT,Non-ICT,53,
1408,"Maintenance of Aircraft Flight Control Servo Mechanisms, microgrinding, and Associated Technical Services.",SON65738,Aircraft,Inactive,,Non-ICT,Non-ICT,53,
1409,Management ans Supply of Aircraft Tyres for the RAAF,SON65741,Aircraft,Inactive,,Non-ICT,Non-ICT,53,
